,index,Brand_Name,Product_Name,Types,Price,Size_ml,Rating,Product_ID,Reviews,Prize_size_ratio,Bayesian_Average,Without Parabens,Without Sulfates,Vegan,Clean at Sephora,CrueltyFree,Oil Free,Fragrance Free,Alcohol Free,Gluten Free,Normal,Dry,Oily,Combination,Sensitive,Dryness,Uneven Texture,Wrinkles,Pores,Oiliness,Acne,Blemishes,Link
66,70,Charlotte Tilbury,Healthy Glow Power Duo,FaceSerum,140.0,30.0,4.0,P503190,2.0,4.666666666666667,4.218665011763835,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,https://www.sephora.com/ca/en/product/healthy-glow-power-duo-P503190?skuId=2621019&icid2=products grid:p503190:product
67,381,Clarins,Super Restorative Remodelling Serum,FaceSerum,147.0,30.0,4.5,P403307,2.0,4.9,4.253147770384524,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,https://www.sephora.com/ca/en/product/super-restorative-remodelling-serum-P403307?skuId=1747724&icid2=products grid:p403307:product
68,143,Augustinus Bader,The Skin Renewal System,FaceSerum,250.0,30.0,5.0,P504018,2.0,8.333333333333334,4.287630529005215,0,0,1,0,0,0,0,0,0,1,1,0,0,0,1,0,1,0,0,0,0,https://www.sephora.com/ca/en/product/augustinus-bader-the-skin-renewal-system-P504018?skuId=2650232&icid2=products grid:p504018:product
69,23,COOLA,Refreshing Water Sunscreen Stick SPF 50,Sunscreen,30.0,24.0,5.0,P504987,2.0,1.25,4.287630529005215,0,0,0,1,1,0,0,0,0,1,1,1,1,0,1,0,0,0,0,0,0,https://www.sephora.com/ca/en/product/coola-suncare-refreshing-water-sunscreen-stick-spf-50-P504987?skuId=2643963&icid2=products grid:p504987:product
70,46,Clarins,Super Restorative AntiAging Night Moisturizer,Moisturizers,142.0,51.0,5.0,P501585,2.0,2.784313725490196,4.287630529005215,0,0,0,0,0,0,0,0,0,1,1,1,1,0,1,0,1,0,0,0,0,
71,41,Darphin,STIMULSKIN PLUS Absolute Renewal Cream,Moisturizers,394.0,51.0,5.0,P469874,2.0,7.7254901960784315,4.287630529005215,0,0,0,0,0,0,0,0,0,1,1,1,1,0,0,0,1,0,0,0,0,https://www.sephora.com/ca/en/product/darphin-stimulskin-absolute-renewal-cream-P469874?skuId=2460921&icid2=products grid:p469874:product
72,47,The Ordinary,Natural Moisturizing Factors + PhytoCeramides  MoistureRich Surface Hydration,Moisturizers,26.5,102.0,4.0,P505136,2.0,0.25980392156862747,4.218665011763835,0,0,0,0,0,0,1,0,0,1,1,0,0,0,1,0,0,0,0,0,0,
73,63,Shiseido,Future Solution LX Total Protective Cream Broad Spectrum SPF 20 Sunscreen,Sunscreen,350.0,51.0,5.0,P423167,2.0,6.862745098039215,4.287630529005215,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,https://www.sephora.com/ca/en/product/future-solution-lx-total-protective-cream-broad-spectrum-spf-20-sunscreen-P423167?skuId=2009249&icid2=products grid:p423167:product
74,140,Erno Laszlo,HydraTherapy Phelityl Cleansing Oil with vitamin E,Cleaners,61.6,192.0,3.0,P478266,2.0,0.32083333333333336,4.149699494522456,1,1,0,0,0,0,0,0,0,1,1,1,1,0,1,0,0,0,0,0,0,
75,65,Shiseido,Future Solution LX Total Protective Emulsion Broad Spectrum SPF 20 Sunscreen,Sunscreen,350.0,75.0,4.0,P423168,2.0,4.666666666666667,4.218665011763835,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,https://www.sephora.com/ca/en/product/future-solution-lx-total-protective-emulsion-broad-spectrum-spf-20-sunscreen-P423168?skuId=2009231&icid2=products grid:p423168:product
76,4,Clarins,CalmEssentiel Soothing Emulsion,Moisturizers,52.0,51.0,3.0,P475081,2.0,1.0196078431372548,4.149699494522456,1,1,0,0,0,0,0,0,0,1,1,1,1,0,1,0,0,0,0,0,0,
77,56,Lise Watier,Age Control Supreme Nuit Sublime,Moisturizers,120.0,51.0,4.5,P435768,2.0,2.3529411764705883,4.253147770384524,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,https://www.sephora.com/ca/en/product/age-control-supreme-nuit-sublime-P435768?skuId=2135267&icid2=products grid:p435768:product
78,22,MAC Cosmetics,Hyper Real Mini Serumizer,Moisturizers,40.0,15.0,4.6667,P504226,3.0,2.6666666666666665,4.278046178038374,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,https://www.sephora.com/ca/en/product/mac-cosmetics-hyper-real-mini-serumizer-P504226?skuId=2654408&icid2=products grid:p504226:product
79,22,MAC Cosmetics,Hyper Real Mini Serumizer,Moisturizers,40.0,15.0,4.6667,P504226,3.0,2.6666666666666665,4.278046178038374,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,https://www.sephora.com/ca/en/product/mac-cosmetics-hyper-real-mini-serumizer-P504226?skuId=2654408&icid2=products grid:p504226:product
80,63,Sulwhasoo,Concentrated Ginseng Renewing Eye Cream,Eyecare,185.0,20.1,4.3333,P502448,3.0,9.203980099502488,4.244706178038374,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,https://www.sephora.com/ca/en/product/concentrated-ginseng-renewing-eye-cream-ad-P502448?skuId=2595841&icid2=products grid:p502448:product
81,39,Tata Harper,Boosted Contouring Serum,Moisturizers,443.0,30.0,3.3333,P449409,3.0,14.766666666666667,4.144706178038374,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,1,0,0,0,0,https://www.sephora.com/ca/en/product/boosted-contouring-serum-P449409?skuId=2284933&icid2=products grid:p449409:product
